,loss_value,acc,auc_validation,auc_test
455,0.5438,0.7488,0.6461,
456,0.5412,0.7527,0.6463,
457,0.5406,0.7477,0.6464,
458,0.5448,0.7475,0.6465,
459,0.5483,0.7503,0.6465,
460,0.5438,0.7517,0.6465,
461,0.54,0.7503,0.6466,
462,0.5462,0.7522,0.6466,
463,0.5412,0.747,0.6467,
464,0.5456,0.752,0.6467,
465,0.5456,0.7503,0.6468,
466,0.5306,0.7591,0.6469,
467,0.5348,0.7543,0.6469,
468,0.5438,0.7461,0.6469,
469,0.5546,0.7515,0.647,
470,0.5467,0.7531,0.6471,
471,0.5429,0.7527,0.6472,
472,0.544,0.7486,0.6472,
473,0.5358,0.7513,0.6472,
474,0.5454,0.75,0.6474,
475,0.5394,0.7505,0.6475,
476,0.5348,0.7512,0.6475,
477,0.5327,0.7568,0.6476,
478,0.5417,0.7497,0.6476,
479,0.5369,0.7525,0.6478,
480,0.5462,0.7568,0.6478,
481,0.5352,0.7549,0.648,
482,0.5381,0.7501,0.648,
483,0.5313,0.7533,0.648,
484,0.5415,0.7544,0.6481,
485,0.5358,0.7586,0.6481,
486,0.5429,0.7475,0.6482,
487,0.5313,0.7587,0.6482,
488,0.54,0.7505,0.6483,
489,0.5427,0.7515,0.6483,
490,0.5367,0.7533,0.6484,
491,0.5271,0.7563,0.6484,
492,0.529,0.7563,0.6485,
493,0.5302,0.7555,0.6485,
494,0.536,0.7571,0.6485,
495,0.5331,0.759,0.6485,
496,0.5354,0.7574,0.6486,
497,0.5377,0.749,0.6486,
498,0.5348,0.7554,0.6487,
499,0.5379,0.7569,0.6487,
500,0.5315,0.7562,0.6487,
501,0.5321,0.7567,0.6488,
502,0.531,0.7594,0.6488,
503,0.5169,0.7615,0.649,
504,0.5323,0.7553,0.649,
505,0.5279,0.7551,0.6492,
506,0.5287,0.756,0.6492,
507,0.5362,0.7594,0.6493,
508,0.5317,0.7533,0.6493,
509,0.5319,0.7552,0.6493,
510,0.5256,0.7585,0.6494,
511,0.5227,0.7612,0.6495,
512,0.5319,0.7571,0.6496,
513,0.5358,0.7592,0.6496,
514,0.5338,0.7553,0.6497,
515,0.5429,0.754,0.6497,
516,0.5304,0.7621,0.6498,
517,0.52,0.7592,0.6499,
518,0.5213,0.7608,0.6499,
519,0.5308,0.7569,0.6499,
520,0.5337,0.7625,0.65,
521,0.5292,0.7624,0.6501,
522,0.5377,0.7566,0.6502,
523,0.5367,0.7554,0.6502,
524,0.5335,0.7604,0.6503,
525,0.5429,0.7598,0.6503,
526,0.5404,0.7532,0.6504,
527,0.539,0.7555,0.6504,
528,0.5269,0.7604,0.6504,
529,0.5217,0.7606,0.6504,
530,0.5308,0.7609,0.6505,
531,0.5262,0.7563,0.6506,
532,0.5329,0.7589,0.6506,
533,0.525,0.7611,0.6507,
534,0.5308,0.7601,0.6508,
535,0.5265,0.7591,0.6508,
536,0.5319,0.7604,0.6509,
537,0.5338,0.7589,0.651,
538,0.5363,0.7591,0.6511,
539,0.534,0.7599,0.6512,
540,0.53,0.7602,0.6513,
541,0.5271,0.762,0.6513,
542,0.5179,0.7612,0.6513,
543,0.5335,0.7595,0.6513,
544,0.5288,0.7586,0.6513,
545,0.5335,0.7608,0.6514,
546,0.5279,0.7605,0.6515,
547,0.5219,0.764,0.6516,
548,0.5365,0.761,0.6517,
549,0.5306,0.761,0.6517,
550,0.5248,0.7637,0.6517,
551,0.5313,0.7569,0.6518,
552,0.5398,0.757,0.6518,
553,0.531,0.7619,0.6519,
554,0.5317,0.759,0.652,
555,0.5267,0.7633,0.652,
556,0.5379,0.7568,0.6521,
557,0.5238,0.7641,0.6522,
558,0.5271,0.7578,0.6523,
559,0.5354,0.7575,0.6523,
560,0.5321,0.7578,0.6523,
561,0.5331,0.7608,0.6524,
562,0.521,0.7614,0.6525,
563,0.5188,0.7665,0.6525,
564,0.525,0.7633,0.6526,
565,0.5108,0.7683,0.6526,
566,0.5294,0.7615,0.6526,
567,0.5238,0.7622,0.6526,
568,0.5296,0.7621,0.6527,
569,0.5327,0.7611,0.6528,
570,0.5387,0.7561,0.6528,
571,0.5125,0.7662,0.6529,
572,0.5221,0.7612,0.653,
573,0.5133,0.7674,0.653,
574,0.5258,0.76,0.6531,
575,0.5163,0.7657,0.6531,
576,0.5204,0.7666,0.6531,
577,0.5242,0.7629,0.6531,
578,0.5267,0.763,0.6532,
579,0.5262,0.7635,0.6532,
580,0.5242,0.7645,0.6533,
581,0.5219,0.7647,0.6533,
582,0.5246,0.7634,0.6534,
583,0.5263,0.7646,0.6534,
584,0.5188,0.7646,0.6534,
585,0.5329,0.7634,0.6534,
586,0.5198,0.7619,0.6535,
587,0.5248,0.764,0.6535,
588,0.5254,0.767,0.6536,
589,0.5217,0.7652,0.6536,
590,0.5231,0.7656,0.6536,
591,0.5152,0.7673,0.6537,
592,0.5277,0.7633,0.6536,
593,0.519,0.7642,0.6537,
594,0.536,0.7656,0.6538,
595,0.5175,0.7651,0.6539,
596,0.5281,0.7631,0.6539,
597,0.5138,0.767,0.6539,
598,0.5267,0.7628,0.6538,
599,0.5217,0.7664,0.654,
600,0.524,0.7654,0.654,
601,0.5254,0.7654,0.654,
602,0.5344,0.7637,0.6541,
603,0.5137,0.771,0.6541,
604,0.5263,0.7641,0.6542,
605,0.5221,0.7663,0.6542,
606,0.5115,0.7708,0.6543,
607,0.5217,0.7668,0.6544,
608,0.5223,0.7669,0.6543,
609,0.5237,0.7702,0.6545,
610,0.5135,0.7716,0.6545,
611,0.5212,0.7658,0.6546,
612,0.5173,0.7691,0.6547,
613,0.5188,0.7667,0.6547,
614,0.5275,0.7692,0.6548,
615,0.5183,0.7668,0.6548,
616,0.5298,0.768,0.6549,
617,0.5121,0.7713,0.655,
618,0.5142,0.7696,0.6549,
619,0.5196,0.7649,0.655,
620,0.514,0.7649,0.6551,
621,0.5308,0.7659,0.6552,
622,0.5181,0.7689,0.6552,
623,0.5171,0.7725,0.6552,
624,0.5281,0.764,0.6552,
625,0.5169,0.7703,0.6553,
626,0.515,0.7671,0.6553,
627,0.52,0.7679,0.6554,
628,0.5248,0.767,0.6554,
629,0.5163,0.7705,0.6554,
630,0.5142,0.7685,0.6555,
631,0.5148,0.7683,0.6554,
632,0.5123,0.7695,0.6555,
633,0.5117,0.7685,0.6556,
634,0.5021,0.7675,0.6556,
635,0.5163,0.7661,0.6557,
636,0.5152,0.7697,0.6557,
637,0.5187,0.7645,0.6557,
638,0.5152,0.7696,0.6558,
639,0.5073,0.771,0.6559,
640,0.5231,0.768,0.6559,
641,0.5154,0.7712,0.6559,
642,0.5125,0.7703,0.6559,
643,0.5098,0.7735,0.656,
644,0.526,0.7688,0.656,
645,0.5165,0.7715,0.6561,
646,0.5221,0.7675,0.6562,
647,0.5077,0.7752,0.6562,
648,0.5056,0.7747,0.6562,
649,0.5077,0.7714,0.6562,
650,0.5073,0.7714,0.6563,
651,0.516,0.7699,0.6563,
652,0.5106,0.7733,0.6564,
653,0.5262,0.7689,0.6565,
654,0.5158,0.7705,0.6566,
655,0.5112,0.773,0.6566,
656,0.5156,0.7727,0.6567,
657,0.5154,0.7702,0.6567,
658,0.5142,0.7707,0.6568,
659,0.5146,0.768,0.6569,
660,0.5069,0.7768,0.6569,
661,0.4981,0.7774,0.6569,
662,0.5102,0.773,0.6569,
663,0.5146,0.7737,0.657,
664,0.5142,0.7736,0.657,
665,0.5077,0.7756,0.657,
666,0.5008,0.7748,0.6571,
667,0.5031,0.7728,0.6571,
668,0.5031,0.7747,0.6571,
669,0.5008,0.7758,0.6572,
670,0.5081,0.7742,0.6572,
671,0.5196,0.7715,0.6573,
672,0.51,0.777,0.6574,
673,0.5227,0.7722,0.6574,
674,0.5229,0.7698,0.6576,
675,0.511,0.7764,0.6575,
676,0.5129,0.7744,0.6576,
677,0.5004,0.7816,0.6576,
678,0.5112,0.7716,0.6576,
679,0.5023,0.7758,0.6577,
680,0.5104,0.7742,0.6578,
681,0.5056,0.7762,0.6578,
682,0.5056,0.7735,0.6579,
683,0.5023,0.7774,0.6579,
684,0.5023,0.7759,0.658,
685,0.5031,0.7775,0.658,
686,0.5035,0.7738,0.658,
687,0.5158,0.7728,0.6581,
688,0.4965,0.7766,0.6582,
689,0.5117,0.7744,0.6582,
690,0.5237,0.7707,0.6582,
691,0.5158,0.7736,0.6582,
692,0.5144,0.7773,0.6582,
693,0.5052,0.7754,0.6583,
694,0.5019,0.7795,0.6583,
695,0.5142,0.7761,0.6583,
696,0.4998,0.7804,0.6583,
697,0.5067,0.7769,0.6584,
698,0.504,0.7784,0.6584,
699,0.501,0.7744,0.6584,
700,0.5004,0.7769,0.6584,
701,0.5071,0.7742,0.6585,
702,0.5092,0.7736,0.6585,
703,0.5058,0.7736,0.6586,
704,0.4962,0.7799,0.6586,
705,0.52,0.7752,0.6586,
706,0.5069,0.7779,0.6587,
707,0.5037,0.7773,0.6588,
708,0.5063,0.7767,0.6588,
709,0.4958,0.7789,0.6589,
710,0.5096,0.7714,0.659,
711,0.4979,0.7803,0.659,
712,0.4912,0.7808,0.6591,
713,0.5088,0.775,0.6591,
714,0.5058,0.7763,0.6592,
715,0.5021,0.7801,0.6592,
716,0.5052,0.7808,0.6592,
717,0.4977,0.7771,0.6592,
718,0.4994,0.7747,0.6593,
719,0.5085,0.7768,0.6594,
720,0.5135,0.773,0.6594,
721,0.506,0.7782,0.6595,
722,0.5046,0.7771,0.6595,
723,0.5021,0.7823,0.6595,
724,0.4923,0.7831,0.6596,
725,0.5154,0.7751,0.6596,
726,0.4994,0.7797,0.6596,
727,0.5098,0.7759,0.6596,
728,0.5029,0.7781,0.6597,
729,0.4992,0.7824,0.6597,
730,0.5069,0.7771,0.6597,
731,0.5058,0.7797,0.6597,
732,0.5073,0.7725,0.6598,
733,0.5019,0.7803,0.6598,
734,0.4994,0.7782,0.6598,
735,0.5229,0.7721,0.6599,
736,0.5015,0.7809,0.6599,
737,0.4975,0.7782,0.66,
738,0.5017,0.7789,0.66,
739,0.5044,0.7775,0.6601,
740,0.5019,0.7778,0.6601,
741,0.5187,0.7755,0.6602,
742,0.5088,0.7753,0.6603,
743,0.505,0.78,0.6603,
744,0.505,0.7758,0.6603,
745,0.4869,0.7834,0.6603,
746,0.4867,0.7831,0.6604,
747,0.4906,0.7803,0.6605,
748,0.4944,0.784,0.6605,
749,0.4894,0.7808,0.6606,
750,0.4992,0.7801,0.6606,
751,0.4944,0.7855,0.6606,
752,0.5031,0.7774,0.6607,
753,0.5052,0.7823,0.6608,
754,0.4944,0.7798,0.6608,
755,0.5054,0.7834,0.6609,
756,0.5098,0.7786,0.661,
757,0.5027,0.7794,0.661,
758,0.4888,0.7844,0.6611,
759,0.5169,0.7777,0.6611,
760,0.4906,0.7828,0.6612,
761,0.5035,0.7796,0.6612,
762,0.4979,0.7833,0.6613,
763,0.4933,0.7826,0.6614,
764,0.4881,0.784,0.6614,
765,0.5019,0.7789,0.6614,
766,0.5006,0.7843,0.6614,
767,0.4925,0.7823,0.6615,
768,0.4956,0.7825,0.6615,
769,0.4892,0.7838,0.6616,
770,0.4931,0.7819,0.6617,
771,0.4958,0.7823,0.6617,
772,0.4925,0.7804,0.6617,
773,0.4971,0.7808,0.6618,
774,0.4896,0.7824,0.6618,
775,0.4919,0.7824,0.6618,
776,0.5069,0.7766,0.6619,
777,0.4942,0.7824,0.6619,
778,0.4892,0.7859,0.662,
779,0.501,0.7802,0.662,
780,0.4942,0.7814,0.6621,
781,0.5046,0.7826,0.6621,
782,0.5006,0.7789,0.6621,
783,0.5035,0.7803,0.6622,
784,0.4973,0.7894,0.6623,
